id	net_time	start_time	end_time	op	wf_curr_app	userid	status	user_type	comments	appid	grID	internalfileid	clientid	log_id
4182	4.74000000	20230403135215	20230403135219	ClientsFunctions.asp --> Sub CalculateAmortizationSchedule	yyy	MUGLIONI21	XXX	E	yyy	ClientsLoans	XXX	XXX	XXX	LT000000004149
6586	4.73000000	20230404165323	20230404165327	Caricamento Pagina	XXX	DCARANGELO	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000006537
4742	4.73000000	20230403155808	20230403155812	GuaranteeSendFunctions.asp --> Sub ComputeAPR	yyy	SCHEMBARI		E	yyy	GuaranteeRequest	GR000000295143	9799FID	CL000000013561	LT000000004706
11465	4.73000000	20230412105634	20230412105638	Caricamento Pagina	XXX	FRINALDI	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000011384
11023	4.73000000	20230412082248	20230412082252	GuaranteeRequestDetail.asp --> Sub SendRecord	#WF0500	ASERRA	GRLoanOfficer	I	yyy	GuaranteeRequest	GR000000295424	9802FID	CL000000013541	LT000000010946
6745	4.72000000	20230404170527	20230404170532	ClientsFunctions.asp --> Sub PrintFID	yyy	DDESIMONE	GRISTVerification	I	yyy	GuaranteeRequest	GR000000295266	9789FID	CL000000013542	LT000000006694
8879	4.72000000	20230406095813	20230406095817	GuaranteeRequestDetail.asp --> Sub SendRecord	#WF0500	ASERRA	GRLoanOfficer	I	yyy	GuaranteeRequest	GR000000295363	9794FID	CL000000013564	LT000000008809
2688	4.71000000	20230403082831	20230403082836	GuaranteeSendFunctions.asp --> Sub ComputeAPR	yyy	DDESIMONE	GRISTDISBURSEMENTCONFIRMATION	I	yyy	ClientsAmortizationSchedule	GR000000295186	9744FID	CL000000013494	LT000000002669
11103	4.71000000	20230412090602	20230412090607	Caricamento Pagina	XXX	MSCARINZI	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000011026
10610	4.70000000	20230411122329	20230411122334	GuaranteeSendFunctions.asp --> Sub WriteParameters	yyy	FRINALDI	GRISTVerification	I	yyy	GuaranteeRequest	GR000000295365	9796FID	CL000000013567	LT000000010533
